GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
admin-service,com.idexcel.adminservice.controller,AdminServiceRestController,141,6,6,0,35,3,12,1,9,1
admin-service,com.idexcel.adminservice.entity,Admin,127,0,0,0,34,0,18,0,18,0
admin-service,com.idexcel.adminservice.entity,Address,53,0,0,0,22,0,11,0,11,0
admin-service,com.idexcel.adminservice.service.impl,AdminServiceImpl,54,6,2,0,14,3,7,1,6,1
admin-service,com.idexcel.adminservice.exception,AdminErrorResponse,36,0,0,0,16,0,8,0,8,0
admin-service,com.idexcel.adminservice.exception,AdminAlreadyExistException,23,0,0,0,10,0,5,0,5,0
admin-service,com.idexcel.adminservice.exception,AdminExceptionHandler,105,3,0,0,25,1,5,1,5,1
admin-service,com.idexcel.adminservice.exception,NoContentException,23,0,0,0,10,0,5,0,5,0
admin-service,com.idexcel.adminservice.exception,IdConflictException,23,0,0,0,10,0,5,0,5,0
admin-service,com.idexcel.adminservice.exception,AdminNotFoundException,13,0,0,0,6,0,3,0,3,0
admin-service,com.idexcel.adminservice.dto,AdminDTO,26,0,0,0,12,0,6,0,6,0
admin-service,com.idexcel.adminservice.dto,ModelMapperAdmin,3,0,0,0,1,0,1,0,1,0
admin-service,com.idexcel.adminservice,AdminServiceApplication,5,3,0,0,2,1,1,1,1,1
